"csd_ref","name","asa_grav [m²/g]","asa_vol [m²/cm³]","av_vf","pore_volume [cm³/g]","density [g/cm³]","nexc [wt. %]","uptake_grav [wt. %]","uptake_vol [g H2/L]","metal1","metal2","metal3","oms","lcd [Å]","pld [Å]","LFPD [Å]","symmetry_space_group","cell_length_a","cell_length_b","cell_length_c","cell_angle_alpha","cell_angle_beta","cell_angle_gamma","cell_volume [Å³]","cas1","norm_name1","name1","mol_mass1 [g/mol]","smile_cam1","smile_can1","linker1","vendor_name1","max_amount1 [g]","rel_price1 [€/g]","min_purity1","cas2","norm_name2","name2","mol_mass2 [g/mol]","smile_cam2","smile_can2","linker2","vendor_name2","max_amount2 [g]","rel_price2 [g/€]","min_purity2","cas3","norm_name3","name3","mol_mass3 [g/mol]","smile_cam3","smile_can3","linker3","vendor_name3","max_amount3 [g]","rel_price3 [€/g]","min_purity3"
"ICAWUF","",1315.18,1360.39,0.57,0.55,1.03,2.95,3.8,40.83,"Cd","","","Yes",8.09,7.71,8.07,"Fdd2",37.54,130.91,6.7,90.0,90.0,90.0,32931.34,"","","4-(2-(4-Pyridyl)ethenyl)cinnamate",251.28,"N1=CC=C(C=C1)C=CC1=CC=C(C=CC(=O)O)C=C1","OC(=O)C=Cc1ccc(cc1)C=Cc1ccncc1","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IKOKEA","aluminophosphate chabazite",706.55,1155.87,0.52,0.32,1.64,2.15,2.55,42.89,"Al","","","No",6.09,3.39,6.08,"P-1",9.23,9.29,9.38,85.21,77.31,89.35,781.29,"","","1,2,3-trimethyl-1H-imidazol-3-ium",111.17,"CN1C(=[N+](C=C1)C)C","Cn1cc[n+](c1C)C","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMIXEI","",2886.65,2330.6,"",0.89,0.81,4.96,6.2,53.33,"Cu","","","No","","","","P21/c",14.1,14.18,24.67,90.0,92.51,90.0,4928.23,"","","N-Oxy-1-(pyrazin-2-yl)ethanimine",121.14,"N1=C(C=NC=C1)C(C)=N","CC(=N)c1cnccn1","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IQOJAB","",1426.23,1467.53,0.57,0.55,1.03,3.1,3.9,41.77,"Zn","","","Yes",5.88,3.83,5.87,"P21/c",16.36,18.13,22.59,90.0,114.11,90.0,6117.05,"","","4-((4-carboxylatephenyl)(4-(pyridin-4-yl)phenyl)amine)benzoate",410.4,"C(=O)(O)C1=CC=C(C=C1)N(C1=CC=C(C(=O)O)C=C1)C1=CC=C(C=C1)C1=CC=NC=C1","C(=O)(O)C1=CC=C(C=C1)N(C1=CC=C(C(=O)O)C=C1)C1=CC=C(C=C1)C1=CC=NC=C1","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IRELAU","",1470.68,1676.5,0.59,0.52,1.14,3.16,3.86,45.72,"Zn","","","Yes",6.05,3.48,6.05,"P21/c",12.21,17.83,15.31,90.0,111.23,90.0,3106.18,"","","1,1':4',1''-terphenyl-2',3,3'',5'-tetracarboxylate",406.3,"C1(=CC(=CC=C1)C(=O)O)C=1C(=CC(=C(C1)C(=O)O)C1=CC(=CC=C1)C(=O)O)C(=O)O","OC(=O)c1cc(c2cccc(c2)C(=O)O)c(cc1c1cccc(c1)C(=O)O)C(=O)O","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IXISAJ","",756.66,1266.62,0.53,0.32,1.67,2.22,2.62,45.05,"Cu","","","No",5.71,4.42,5.71,"I41md",17.73,17.73,12.6,90.0,90.0,90.0,3961.28,"","","1,2,3,6,7,8-Hexahydro-cinnolino(5,4,3-cde)cinnoline",212.25,"C1CCC2=C3C=4C(=NN=C13)CCCC4N=N2","C1Cc2nnc3c4c2c(C1)nnc4CCC3","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IZEWAN","NTU-17",1973.9,1735.67,0.66,0.76,0.88,3.81,5.01,46.36,"Zn","","","Yes",9.05,8.49,9.04,"P21/c",7.38,28.29,22.47,90.0,99.13,90.0,4631.86,"","","1,3,5-tris(3-carboxylate-4-oxyphenyl)benzene","","OC(=O)c1cc(ccc1O)c1cc(cc(c1)c1ccc(O)c(c1)C(=O)O)c1ccc(O)c(c1)C(=O)O","OC(=O)c1cc(ccc1O)c1cc(cc(c1)c1ccc(c(c1)C(=O)O)O)c1ccc(c(c1)C(=O)O)O","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JAKBOP","",2514.56,2029.2,0.67,0.83,0.81,4.5,5.7,48.74,"Mn","","","No",5.77,4.19,5.69,"P212121",10.69,12.09,16.11,90.0,90.0,90.0,2082.96,"","","triethyl(methoxymethyl)phosphonium",163.22,"C(C)P(COC)(CC)CC","COCP(CC)(CC)CC","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JEJWEB","",4104.0,2216.16,"",1.39,0.54,6.46,8.6,50.79,"Zn","","","No","","","","I4132",38.34,38.34,38.34,90.0,90.0,90.0,56342.22,"","","N,N,N',N'-tetrakis(4-Carboxyphenyl)1,4-phenylenediamine",588.563,"C(=O)(O)C1=CC=C(C=C1)N(C1=CC=C(C=C1)N(C1=CC=C(C=C1)C(=O)O)C1=CC=C(C=C1)C(=O)O)C1=CC=C(C=C1)C(=O)O","C(=O)(O)C1=CC=C(C=C1)N(C1=CC=C(C=C1)N(C1=CC=C(C=C1)C(=O)O)C1=CC=C(C=C1)C(=O)O)C1=CC=C(C=C1)C(=O)O","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JUTCIM","",2742.03,2013.05,0.75,1.02,0.73,4.78,6.42,50.4,"Cu","","","Yes",15.74,14.88,15.74,"R-3",45.65,45.65,10.92,90.0,90.0,120.0,19695.17,"","","2,2',6,6'-Tetranitrobiphenyl-4,4'-dicarboxylate",422.217,"N(=O)(O)C1=C(C(=CC(=C1)C(=O)O)N(=O)O)C1=C(C=C(C=C1N(=O)O)C(=O)O)N(=O)O","OC(=O)c1cc(N(=O)O)c(c(c1)N(=O)O)c1c(cc(cc1N(=O)O)C(=O)O)N(=O)O","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JUVROJ","",1067.07,1447.17,0.56,0.42,1.36,2.63,3.18,44.6,"Cd","","","No",5.08,3.64,5.08,"P-1",9.94,10.44,14.58,107.05,109.13,90.08,1358.8,"","","5,5'-(ethane-1,2-diylbis(oxy))diisophthalate",390.3,"C(COC=1C=C(C=C(C(=O)O)C1)C(=O)O)OC=1C=C(C=C(C(=O)O)C1)C(=O)O","OC(=O)c1cc(OCCOc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KAWHEY","",3256.18,1507.18,0.81,1.76,0.46,5.42,8.84,44.91,"Zn","","","Yes",18.21,15.59,18.21,"C2221",29.72,37.89,37.65,90.0,90.0,90.0,42398.44,"","","4,4',4''-{benzene-1,3,5-triyltris[(1H-1,2,3-triazole-4,1-diyl)]}tribenzoate",639.6,"C1(=CC(=CC(=C1)C=1N=NN(C1)C1=CC=C(C(=O)O)C=C1)C=1N=NN(C1)C1=CC=C(C(=O)O)C=C1)C=1N=NN(C1)C1=CC=C(C(=O)O)C=C1","OC(=O)c1ccc(cc1)n1nnc(c1)c1cc(cc(c1)c1nnn(c1)c1ccc(cc1)C(=O)O)c1nnn(c1)c1ccc(cc1)C(=O)O","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KEHGAH","",1746.73,1722.07,0.63,0.64,0.99,3.51,4.46,46.01,"Cd","","","No",8.42,6.82,8.42,"P63/m",18.56,18.56,14.4,90.0,90.0,120.0,4296.39,"","","3,5,7-tris(1,2,4-Triazol-4-yl)-1-azaadamantane",338.37,"N=1N=CN(C1)C12CN3CC(CC(C1)(C3)N3C=NN=C3)(C2)N2C=NN=C2","n1ncn(c1)C12CN3CC(C2)(CC(C1)(C3)n1cnnc1)n1cnnc1","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KEHGIP","",1357.62,1453.04,0.55,0.52,1.07,3.01,3.75,41.7,"Cu","","","Yes",4.93,3.99,4.93,"Pnma",17.16,13.16,12.86,90.0,90.0,90.0,2904.32,"","","1,3,5,7-tetrakis(1,2,4-Triazol-4-yl)adamantane",404.4,"N=1N=CN(C1)C12CC3(CC(CC(C1)(C3)N3C=NN=C3)(C2)N2C=NN=C2)N2C=NN=C2","n1ncn(c1)C12CC3(CC(C2)(CC(C1)(C3)n1cnnc1)n1cnnc1)n1cnnc1","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KEQDER","",4258.46,2314.06,0.78,1.43,0.54,6.65,8.83,52.64,"Zn","","","Yes",13.62,6.5,13.37,"I4/mmm",18.77,18.77,46.46,90.0,90.0,90.0,16360.79,"","","[4-(3,5-dicarboxyphenylethynyl)-phenyl]ethylene","","C(=O)(O)C=1C=C(C=C(C1)C(=O)O)C#CC1=CC=C(C=C1)C=C","C=Cc1ccc(cc1)C#Cc1cc(cc(c1)C(=O)O)C(=O)O","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KEVBIY","",1323.86,1562.06,0.55,0.46,1.18,2.96,3.54,43.36,"Ni","","","No",5.74,3.76,5.74,"R-3c",29.37,29.37,20.87,90.0,90.0,120.0,15586.92,"","","4,4'-((4,4'-bipyridine)-2,6-diyl)dibenzoate",396.4,"N1=C(C=C(C=C1C1=CC=C(C(=O)O)C=C1)C1=CC=NC=C1)C1=CC=C(C(=O)O)C=C1","OC(=O)c1ccc(cc1)c1cc(cc(n1)c1ccc(cc1)C(=O)O)c1ccncc1","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KEVBOE","",1461.35,1692.78,0.55,0.48,1.16,3.14,3.74,44.94,"Ni","","","No",5.94,3.85,5.94,"R-3c",29.35,29.35,21.29,90.0,90.0,120.0,15877.15,"","","4,4'-((4,4'-bipyridine)-2,6-diyl)dibenzoate",396.4,"N1=C(C=C(C=C1C1=CC=C(C(=O)O)C=C1)C1=CC=NC=C1)C1=CC=C(C(=O)O)C=C1","OC(=O)c1ccc(cc1)c1cc(cc(n1)c1ccc(cc1)C(=O)O)c1ccncc1","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KIGCEK","",1305.96,1293.94,0.6,0.61,0.99,2.94,3.96,40.88,"Zn","","","Yes",10.39,10.28,10.39,"P61",17.48,17.48,10.44,90.0,90.0,120.0,2761.47,"","","N-(Pyridin-4-ylmethyl)-L-threoninate",210.23,"N1=CC=C(C=C1)CN[C@@H]([C@H](O)C)C(=O)O","C[C@H]([C@@H](C(=O)O)NCc1ccncc1)O","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KONSAJ","",1071.01,1183.2,0.65,0.59,1.1,2.63,3.68,42.25,"Fe","Cu","","Yes",18.94,3.75,18.94,"I-43m",28.9,28.9,28.9,90.0,90.0,90.0,24135.82,"","","1,3-di-t-butyl-2,4-di(cyclopenta-1,4-dien-1-yl)-1,3,2,4-diazadiphosphetidine","","C(C)(C)(C)N1P(N(P1C1=CCC=C1)C(C)(C)C)C1=CCC=C1","CC(N1P(C2=CCC=C2)N(P1C1=CCC=C1)C(C)(C)C)(C)C","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KOXGAH","",906.27,1155.67,0.56,0.44,1.28,2.42,3.09,40.66,"Cu","","","Yes",5.58,3.66,5.55,"P43212",12.72,12.72,62.08,90.0,90.0,90.0,10037.81,"","","4,4',4'',4'''-(2,2',6,6'-tetramethoxybiphenyl-3,3',5,5'-tetrayl)tetrapyridine",582.6,"COC1=C(C(=C(C=C1C1=CC=NC=C1)C1=CC=NC=C1)OC)C1=C(C(=CC(=C1OC)C1=CC=NC=C1)C1=CC=NC=C1)OC","COc1c(c2c(OC)c(cc(c2OC)c2ccncc2)c2ccncc2)c(OC)c(cc1c1ccncc1)c1ccncc1","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KOZQEX","",4453.33,1919.0,0.84,1.96,0.43,6.89,10.35,49.74,"Cu","","","Yes",22.42,6.86,22.42,"Pm-3m",27.86,27.86,27.86,90.0,90.0,90.0,21624.36,"","","9-(4-carboxylatephenyl)-9H-carbazole-3,6-dicarboxylate",375.3,"C(=O)(O)C1=CC=C(C=C1)N1C2=CC=C(C=C2C=2C=C(C=CC12)C(=O)O)C(=O)O","C(=O)(O)C1=CC=C(C=C1)N1C2=CC=C(C=C2C=2C=C(C=CC12)C(=O)O)C(=O)O","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KOZQIB","",4716.99,1428.61,0.88,2.91,0.3,7.2,12.88,44.77,"Cu","","","Yes",28.54,12.24,28.54,"Pm-3m",33.97,33.97,33.97,90.0,90.0,90.0,39200.05,"","","9-(4'-carboxylatebiphenyl-4-yl)-9H-carbazole-3,6-dicarboxylate",451.4,"C(=O)(O)C1=CC=C(C=C1)C1=CC=C(C=C1)N1C2=CC=C(C=C2C=2C=C(C=CC12)C(=O)O)C(=O)O","C(=O)(O)C1=CC=C(C=C1)C1=CC=C(C=C1)N1C2=CC=C(C=C2C=2C=C(C=CC12)C(=O)O)C(=O)O","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KUCDIW","BIF-9-Cu",1711.14,1410.27,0.64,0.78,0.82,3.47,4.82,41.77,"Cu","","","No",15.33,4.29,15.15,"P432",26.82,26.82,26.82,90.0,90.0,90.0,19281.6,"","","tetrakis(4-Methylimidazol-1-yl)borate",335.2,"CC=1N=CN(C1)[B-](N1C=NC(=C1)C)(N1C=NC(=C1)C)N1C=NC(=C1)C","Cc1ncn(c1)[B-](n1cnc(c1)C)(n1cnc(c1)C)n1cnc(c1)C","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KUCDOD","",1020.26,1386.6,0.56,0.41,1.36,2.57,3.11,43.63,"Cu","","","Yes",4.91,3.62,4.91,"P-1",10.76,11.19,11.88,101.01,110.55,99.78,1270.95,"","","4-(3,5-Dicarboxylatephenoxy)benzene-1,2-dicarboxylate",346.24,"C(=O)(O)C=1C=C(OC=2C=C(C(=CC2)C(=O)O)C(=O)O)C=C(C1)C(=O)O","OC(=O)c1cc(ccc1C(=O)O)Oc1cc(cc(c1)C(=O)O)C(=O)O","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KULMEK","",3437.92,2268.86,0.75,1.14,0.66,5.65,7.36,52.45,"Zn","","","No",13.21,7.45,13.21,"R-3m",23.82,23.82,30.29,90.0,90.0,120.0,14887.15,"","","2,2'-bis((Methylsulfanyl)methyl)biphenyl-4,4'-dicarboxylate",226.249,"CSCC1=C(C=CC(=C1)C(=O)O)C1=C(C=C(C=C1)C(=O)O)CSC","CSCc1cc(ccc1c1ccc(cc1CSC)C(=O)O)C(=O)O","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KULMIO","",2852.86,2400.42,0.71,0.84,0.84,4.92,6.03,53.97,"Zn","","","Yes",10.57,7.15,10.54,"C2/m",25.17,23.2,17.1,90.0,93.56,90.0,9966.14,"","","2-((Methylsulfonyl)methyl)biphenyl-4,4'-dicarboxylate",334.3,"CS(=O)(=O)CC1=C(C=CC(=C1)C(=O)O)C1=CC=C(C=C1)C(=O)O","OC(=O)c1ccc(cc1)c1ccc(cc1CS(=O)(=O)C)C(=O)O","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KUVMIZ","",4915.74,1774.59,0.82,2.28,0.36,7.44,11.52,46.98,"Si","Cu","","Yes",15.75,11.01,15.74,"C2/c",27.1,31.28,34.9,90.0,92.1,90.0,29566.92,"","","4,4',4'',4'''-(silanetetrayltetrakis(4,1-phenyleneethyne-2,1-diyl))tetrapyridine",740.9,"[Si](C1=CC=C(C=C1)C#CC1=CC=NC=C1)(C1=CC=C(C=C1)C#CC1=CC=NC=C1)(C1=CC=C(C=C1)C#CC1=CC=NC=C1)C1=CC=C(C=C1)C#CC1=CC=NC=C1","n1ccc(cc1)C#Cc1ccc(cc1)[Si](c1ccc(cc1)C#Cc1ccncc1)(c1ccc(cc1)C#Cc1ccncc1)c1ccc(cc1)C#Cc1ccncc1","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KUVMUL","",2006.65,1801.49,0.59,0.66,0.9,3.85,4.76,44.82,"Si","Cu","","Yes",6.75,4.07,6.7,"P-1",18.7,20.12,21.07,111.92,92.82,94.97,7295.91,"","","4,4',4'',4'''-(silanetetrayltetrakis(4,1-phenyleneethyne-2,1-diyl))tetrapyridine",740.9,"[Si](C1=CC=C(C=C1)C#CC1=CC=NC=C1)(C1=CC=C(C=C1)C#CC1=CC=NC=C1)(C1=CC=C(C=C1)C#CC1=CC=NC=C1)C1=CC=C(C=C1)C#CC1=CC=NC=C1","n1ccc(cc1)C#Cc1ccc(cc1)[Si](c1ccc(cc1)C#Cc1ccncc1)(c1ccc(cc1)C#Cc1ccncc1)c1ccc(cc1)C#Cc1ccncc1","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LAPZEK","MFM-183",3498.78,2098.95,0.77,1.28,0.6,5.72,7.79,50.67,"Cu","","","Yes",15.51,7.94,15.34,"I4/mmm",18.69,18.69,50.64,90.0,90.0,90.0,17687.06,"","","4',4'',4''',4''''-(pyrazino[2,3-g]quinoxaline-2,3,7,8-tetrayl)tetrakis([1,1'-biphenyl]-3,5-dicarboxylate)",1143.0,"C(=O)(O)C=1C=C(C=C(C1)C(=O)O)C1=CC=C(C=C1)C=1C(=NC=2C(=CC=3N=C(C(=NC3C2)C2=CC=C(C=C2)C2=CC(=CC(=C2)C(=O)O)C(=O)O)C2=CC=C(C=C2)C=2C=C(C=C(C2)C(=O)O)C(=O)O)N1)C1=CC=C(C=C1)C1=CC(=CC(=C1)C(=O)O)C(=O)O","OC(=O)c1cc(cc(c1)C(=O)O)c1ccc(cc1)c1nc2cc3nc(c4ccc(cc4)c4cc(cc(c4)C(=O)O)C(=O)O)c(nc3cc2nc1c1ccc(cc1)c1cc(cc(c1)C(=O)O)C(=O)O)c1ccc(cc1)c1cc(cc(c1)C(=O)O)C(=O)O","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LAPZIO","MFM-185",3674.57,2030.06,0.79,1.43,0.55,5.94,8.34,50.24,"Cu","","","Yes",15.3,8.24,15.3,"I4/mmm",18.48,18.48,60.0,90.0,90.0,90.0,20481.41,"","","5,5',5'',5'''-(1,4,8,11-Tetraaza-6,13-dioxapentacene-2,3,9,10-tetrayl)tetrakis(1,4-phenylene)tetrakis(isophthalate)",1249.1,"N1=C(C(=NC2=CC=3OC4=CC5=NC(=C(N=C5C=C4OC3C=C12)C1=CC=C(C=C1)C=1C=C(C=C(C(=O)O)C1)C(=O)O)C1=CC=C(C=C1)C=1C=C(C=C(C(=O)O)C1)C(=O)O)C1=CC=C(C=C1)C=1C=C(C=C(C(=O)O)C1)C(=O)O)C1=CC=C(C=C1)C=1C=C(C=C(C(=O)O)C1)C(=O)O","OC(=O)c1cc(cc(c1)C(=O)O)c1ccc(cc1)c1nc2cc3Oc4cc5nc(c6ccc(cc6)c6cc(cc(c6)C(=O)O)C(=O)O)c(nc5cc4Oc3cc2nc1c1ccc(cc1)c1cc(cc(c1)C(=O)O)C(=O)O)c1ccc(cc1)c1cc(cc(c1)C(=O)O)C(=O)O","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LAQNOJ","MFM-181",3146.38,2201.6,0.74,1.06,0.7,5.29,6.89,51.79,"Cu","","","Yes",14.29,6.45,14.29,"I4/mmm",18.59,18.59,41.03,90.0,90.0,90.0,14176.09,"","","4',4''',4''''',4'''''''-(benzene-1,2,4,5-tetrayl)tetrakis(([1,1'-biphenyl]-3,5-dicarboxylate))",1039.0,"C(=O)(O)C=1C=C(C=C(C1)C(=O)O)C1=CC=C(C=C1)C1=C(C=C(C(=C1)C1=CC=C(C=C1)C1=CC(=CC(=C1)C(=O)O)C(=O)O)C1=CC=C(C=C1)C1=CC(=CC(=C1)C(=O)O)C(=O)O)C1=CC=C(C=C1)C=1C=C(C=C(C1)C(=O)O)C(=O)O","OC(=O)c1cc(cc(c1)C(=O)O)c1ccc(cc1)c1cc(c2ccc(cc2)c2cc(cc(c2)C(=O)O)C(=O)O)c(cc1c1ccc(cc1)c1cc(cc(c1)C(=O)O)C(=O)O)c1ccc(cc1)c1cc(cc(c1)C(=O)O)C(=O)O","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LAQNUP","MFM-182",3311.48,2142.31,0.76,1.17,0.65,5.49,7.33,51.19,"Cu","","","Yes",15.26,7.8,15.23,"I4/mmm",18.58,18.58,45.9,90.0,90.0,90.0,15846.81,"","","4',4''',4''''',4'''''''-(naphthalene-2,3,6,7-tetrayl)tetrakis(([1,1'-biphenyl]-3,5-dicarboxylate))",1089.0,"C(=O)(O)C=1C=C(C=C(C1)C(=O)O)C1=CC=C(C=C1)C=1C(=CC2=CC(=C(C=C2C1)C1=CC=C(C=C1)C1=CC(=CC(=C1)C(=O)O)C(=O)O)C1=CC=C(C=C1)C1=CC(=CC(=C1)C(=O)O)C(=O)O)C1=CC=C(C=C1)C=1C=C(C=C(C1)C(=O)O)C(=O)O","OC(=O)c1cc(cc(c1)C(=O)O)c1ccc(cc1)c1cc2cc(c3ccc(cc3)c3cc(cc(c3)C(=O)O)C(=O)O)c(cc2cc1c1ccc(cc1)c1cc(cc(c1)C(=O)O)C(=O)O)c1ccc(cc1)c1cc(cc(c1)C(=O)O)C(=O)O","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LARXUA","CZJ-10",4368.3,1909.12,0.81,1.85,0.44,6.78,10.0,48.57,"Cu","","","Yes",21.84,11.14,21.84,"Pn-3n",33.33,33.33,33.33,90.0,90.0,90.0,37012.93,"","","3,3',3''-[benzene-1,3,5-triyltri(4,1-phenylene)]tri(prop-2-enoate)","","C1(=CC(=CC(=C1)C1=CC=C(C=C1)C=CC(=O)O)C1=CC=C(C=C1)C=CC(=O)O)C1=CC=C(C=C1)C=CC(=O)O","OC(=O)C=Cc1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C=CC(=O)O)c1ccc(cc1)C=CC(=O)O","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LASDEQ","",2975.9,2268.77,0.74,0.98,0.76,5.08,6.52,53.2,"Cu","","","Yes",13.85,8.73,13.84,"P4/mcc",23.57,23.57,47.0,90.0,90.0,90.0,26102.3,"","","5,5'-(methylenedioxy)diisophthalate",376.3,"C(OC=1C=C(C=C(C(=O)O)C1)C(=O)O)OC=1C=C(C=C(C(=O)O)C1)C(=O)O","OC(=O)c1cc(OCOc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LATYOX","",1721.06,1548.12,0.61,0.67,0.9,3.48,4.52,42.59,"Zn","","","No",8.44,7.67,8.44,"P2/n",18.72,5.78,20.83,90.0,91.17,90.0,2251.83,"","","4,4'-bipyridinium-N,N'-diacetate",274.27,"N1(=CC=C(C=C1)C1=CC=N(C=C1)CC(=O)O)CC(=O)O","OC(=O)CN1=CC=C(C=C1)C1=CC=N(C=C1)CC(=O)O","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LAVDOE","",893.91,1212.79,0.53,0.39,1.36,2.4,2.93,40.96,"Cd","","","Yes",6.07,4.45,6.07,"C2/c",30.67,15.07,20.99,90.0,129.55,90.0,7483.12,"","","2-(4-methoxyphenyl)-4,5-dicarboxylateimidazolate","","COC1=CC=C(C=C1)C=1[N-]C(=C(N1)C(=O)O)C(=O)O","COc1ccc(cc1)c1[n-]c(c(n1)C(=O)O)C(=O)O","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LAZXOB","",1708.97,1784.83,0.63,0.61,1.04,3.47,4.34,47.36,"Cu","","","Yes",9.35,6.37,9.35,"Immm",20.13,20.13,20.56,90.0,90.0,90.0,8330.51,"","","2-ethyl-benzene-1,3,5-tricarboxylate",238.19,"C(C)C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O","CCc1c(cc(cc1C(=O)O)C(=O)O)C(=O)O","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LEHXUT","",4755.92,1936.47,0.83,2.04,0.41,7.25,10.79,49.27,"Cu","","","Yes",24.95,9.12,13.96,"Fm-3m",52.56,52.56,52.56,90.0,90.0,90.0,145174.96,"","","1,3,5-tris(4-(3,5-Dicarboxylatephenylaminecarbonyl)phenyl)benzene",927.8,"C(=O)(O)C=1C=C(C=C(C1)C(=O)O)NC(=O)C1=CC=C(C=C1)C1=CC(=CC(=C1)C1=CC=C(C=C1)C(=O)NC1=CC(=CC(=C1)C(=O)O)C(=O)O)C1=CC=C(C=C1)C(=O)NC1=CC(=CC(=C1)C(=O)O)C(=O)O","O=C(c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)Nc1cc(cc(c1)C(=O)O)C(=O)O)c1ccc(cc1)C(=O)Nc1cc(cc(c1)C(=O)O)C(=O)O)Nc1cc(cc(c1)C(=O)O)C(=O)O","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LEJCEK","",5737.0,1916.36,0.86,2.58,0.33,8.41,12.88,49.39,"Zn","","","No",17.2,11.68,17.2,"R-3c",32.36,32.36,100.82,90.0,90.0,120.0,91434.79,"","","3-(4-[3-(4-[2-carboxylateethenyl]-2-methoxyphenoxy)-2,2-bis((4-[2-carboxylateethenyl]-2-methoxyphenoxy)methyl)propoxy]-3-methoxyphenyl)prop-2-enoate","","C(=O)(O)C=CC1=CC(=C(OCC(COC2=C(C=C(C=C2)C=CC(=O)O)OC)(COC2=C(C=C(C=C2)C=CC(=O)O)OC)COC2=C(C=C(C=C2)C=CC(=O)O)OC)C=C1)OC","COc1cc(C=CC(=O)O)ccc1OCC(COc1ccc(cc1OC)C=CC(=O)O)(COc1ccc(cc1OC)C=CC(=O)O)COc1ccc(cc1OC)C=CC(=O)O","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LELDOX","PCN-82",3572.59,2220.07,0.76,1.22,0.62,5.82,7.69,51.79,"Cu","","","Yes",18.13,6.69,12.88,"Fm-3m",40.03,40.03,40.03,90.0,90.0,90.0,64124.88,"","","9,9'-(2,5-dimethoxybenzene-1,4-diyl)bis(9H-carbazole-3,6-dicarboxylate)",644.583,"COC1=C(C=C(C(=C1)N1C2=CC=C(C=C2C=2C=C(C=CC12)C(=O)O)C(=O)O)OC)N1C2=CC=C(C=C2C=2C=C(C=CC12)C(=O)O)C(=O)O","COc1cc(c(cc1n1c2ccc(cc2c2c1ccc(c2)C(=O)O)C(=O)O)OC)n1c2ccc(cc2c2c1ccc(c2)C(=O)O)C(=O)O","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LELDUD","PCN-81",4349.15,1992.46,0.83,1.81,0.46,6.76,9.88,50.25,"Cu","","","Yes",16.55,9.25,16.55,"Pa-3",39.48,39.48,39.48,90.0,90.0,90.0,61555.01,"","","9,9'-benzene-1,4-diylbis(9H-carbazole-3,6-dicarboxylate)",584.531,"C1(=CC=C(C=C1)N1C2=CC=C(C=C2C=2C=C(C=CC12)C(=O)O)C(=O)O)N1C2=CC=C(C=C2C=2C=C(C=CC12)C(=O)O)C(=O)O","OC(=O)c1ccc2c(c1)c1cc(ccc1n2c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(=O)O)C(=O)O)C(=O)O","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
